inStock,categories/0/name,id,name,price,shortDescription,url,images/0/src,images/1/src,images/2/src,images/3/src,images/4/src,(empty)
,,44222,Oppo Reno 12 F 4G 8GB 256GB,36099,"Display: 6.67&#8221;
Back Camera:50MP+8MP+2MP
Front Camera: 32MP
Processor: Qualcomm SM6225 Snapdragon 685 (6 nm)
Warranty: 1-year
Color(s): Amber Orange, Olive Green, Matte Grey
Battery: 5000mAh",https://avechi.co.ke/product/oppo-reno-12-f-4g-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2024/11/Oppo-Reno-12F-4G-2.jpg,https://avechi.co.ke/wp-content/uploads/2024/11/Oppo-reno-12f.jpg,https://avechi.co.ke/wp-content/uploads/2024/11/portable-oppo-reno-12-f-12-256go-5g.jpg,(empty),(empty),
,,47484,Tecno Camon 40 Pro 4G 8GB 256GB,34699,"Display: 6.78&#8221;
Back Camera: 50MP+8MP
Front Camera: 50MP
Processor: Mediatek Helio G100 Ultimate (6 nm)
Warranty: 1-year
Color(s): Emerald Lake Green, Galaxy Black, Glacier White, Emerald Glow Green
Battery: 5200mAh",https://avechi.co.ke/product/tecno-camon-40-pro-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2025/03/Tecno-Camon-40-500x500-2.jpg,https://avechi.co.ke/wp-content/uploads/2025/03/Tecno-Camon-40pro-green.jpg,https://avechi.co.ke/wp-content/uploads/2025/03/Tecno-Camon-40-500x500-2.jpg,(empty),(empty),
,,47523,Oppo Reno 13 F 4G 8GB 256GB,36099,"Display: 6.67&#8221;
Back Camera:50MP+8MP+2MP
Front Camera: 32MP
Processor: Mediatek Helio G100 (6 nm)
Warranty: 1-year
Color(s): Graphite Grey, Skyline Blue, Plume Purple
Battery: 5800mAh",https://avechi.co.ke/product/oppo-reno-13-f-4g-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2025/03/Oppo-Reno-13F-4G.jpg,https://avechi.co.ke/wp-content/uploads/2025/03/400421315bb.jpg,https://avechi.co.ke/wp-content/uploads/2025/03/Oppo-Reno-13F-4G.jpg,(empty),(empty),
,,47831,Infinix Note 50 Pro 4G 8GB 256GB,30699,"Display: 6.78&#8221;
Back Camera:50MP+2MP
Front Camera: 32MP
Processor: Mediatek Helio G100 Ultimate (6 nm)
Warranty: 1-year
Color(s): Titanium Grey, Enchanted Purple, Racing Edition, Shadow Black
Battery : 5200mAh with 90w fast charger",https://avechi.co.ke/product/infinix-note-50-pro-4g-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2025/03/infinix-note-50-pro-enchanted-purple-official-image.jpg,https://avechi.co.ke/wp-content/uploads/2025/03/Infinix-Note-50-b-original-1.jpg,https://avechi.co.ke/wp-content/uploads/2025/03/infinix-note-50-pro-enchanted-purple-official-image.jpg,(empty),(empty),
,,47889,Vivo V40 Lite 4G 8GB 256GB,31299,"Display: 6.67&#8221;
Back Camera:50MP +2MP
Front Camera: 32MP
Processor: Qualcomm SM6225 Snapdragon 685 (6 nm)
Warranty: 1-year
Color(s): Titanium Silver, Carbon Black, Pearl Violet
Battery:5000mAh",https://avechi.co.ke/product/vivo-v40-lite-4g-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2025/03/Vivo-V40-Lite-4G-B.jpg,https://avechi.co.ke/wp-content/uploads/2025/03/Vivo-V40-Lite-4G-b-1.jpg,https://avechi.co.ke/wp-content/uploads/2025/03/Vivo-V40-Lite-4G-B.jpg,(empty),(empty),
,,50365,Moto Razr 60 8GB 256GB,79499,"Display: 6.9&#8221;
Back Camera:50MP+13MP
Front Camera: 32MP
Processor: Mediatek Dimensity 7300X (4 nm)
Colour: Pantone (Gibraltar Sea, Spring Bud, Lightest Sky, Parfait Pink)
Battery: 4500mAh",https://avechi.co.ke/product/moto-razr-60-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2025/05/5698-1.jpg,https://avechi.co.ke/wp-content/uploads/2025/05/13930465_R_m.jpg,(empty),(empty),(empty),
,,51660,Oneplus Nord 5 5G 8GB 256GB,46999,"Display: 6.83&#8221;
Back Camera:50MP+8mp
Front Camera: 50MP
Processor:Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm)
Warranty: 1-year
Color(s):  Phantom Grey, Dry Ice, Marble Sands
Battery: 6800mAh",https://avechi.co.ke/product/oneplus-nord-5-5g-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2025/07/OnePlus-Nord-5-6_11zon-1024x595-1.jpg,https://avechi.co.ke/wp-content/uploads/2025/07/OnePlus-Nord-5-6_11zon-1024x595-2.jpg,https://avechi.co.ke/wp-content/uploads/2025/07/OnePlus-Nord-5-6_11zon-1024x595-3.jpg,https://avechi.co.ke/wp-content/uploads/2025/07/OnePlus-Nord-5-6_11zon-1024x595-8.jpg,(empty),
,,55759,Vivo V60 Lite 4G 8GB 256GB,32299,"Display: 6.77&#8221;
Back Camera:50MP+8MP
Front Camera: 32MP
Processor: Qualcomm SM6225 Snapdragon 685 (6 nm)
Warranty: 1-year
Color(s): Black, Blue
Battery: 6500mAh",https://avechi.co.ke/product/vivo-v60-lite-4g-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2025/10/vIVO-v60-Lite-4G-a.jpg,https://avechi.co.ke/wp-content/uploads/2025/10/vIVO-v60-Lite-4G-a.jpg,https://avechi.co.ke/wp-content/uploads/2025/10/vivo-v60-lite-4g-price-in-pakistan-and-specifications-400x4001-1.jpg,(empty),(empty),
,,55950,Motorola Edge 60 Stylus 5G 8GB 256GB,28999,"Display: 6.7&#8221;
Back Camera:50MP+13MP
Front Camera: 32MP
Processor: Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm)
Colour: Pantone: Gibraltar sea, Surf the Web
Battery: 5000mAh",https://avechi.co.ke/product/motorola-edge-60-stylus-5g-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2025/11/motorola-edge-60-stylus-pantone-gibraltar-sea-official-image.jpg,https://avechi.co.ke/wp-content/uploads/2025/11/motorola-edge-60-stylus-pantone-gibraltar-sea-official-image.jpg,(empty),(empty),(empty),
,,58758,Ulefone Armor 25T 6GB 256GB,34999,"Display: 6.78&#8221;
Back Camera: 50mp+64mp
Front Camera: 32MP
Processor: Mediatek Helio G99 (6 nm)
Warranty: 1-year
Color(s): black
Battery:6500mah",https://avechi.co.ke/product/ulefone-armor-25t-6gb-256gb/,https://avechi.co.ke/wp-content/uploads/2026/01/25tttt.jpg,https://avechi.co.ke/wp-content/uploads/2026/01/25tttt-1.jpg,https://avechi.co.ke/wp-content/uploads/2026/01/25tttt-2.jpg,https://avechi.co.ke/wp-content/uploads/2026/01/25tttt-3.jpg,(empty),
